Site,Panel,ID,MotifID,GeneralTechnique,Specific_technique,Colour primary,Category,General Type,Specific Type,Notes or comments,Added to index imagedouble checked,Relevant images,image saved,Contrast state,Superimposition/Reiterative practice,Editing Notes
CH02,3,133,CH02-3-133,Petroglyph,Engraved,Not applicable,Non-Figurative,Geometric,Line Series,"Five vertical lines slightly to the right of CH02-3-118, separated by a ridge in the rock",,,,4,No,
CH02,3,134,CH02-3-134,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,"Indistinct human, but with feet wider apart than in other motifs. Vertical line through midriff, indistinct but possible spear?",,,,,Yes,
CH02,2,135,CH02-2-135,Pictograph,Infilled or solid,Brown,Track,Tracks,Bird track,"Downward facing bird track, partly obscured by proximity to CH02-2-75",,,,,Yes,
WT01,1c,136,WT01-1c-136,Pictograph,Infilled or solid,Brown,Figurative,Animal,Stingray,"Quite faded motif, only clear in Dstretch. Diamond-shaped motif with several unpainted patches or 'spots' adjacent to point where a long curved infilled line attaches to the body. Interpreted as ray body with patches, and long trailing tail. Poor condition.",,WT01_P1b_ywe_Cropped_Stingray (also other filters on this particular file),,,No,
WT01,1b,137,WT01-1b-137,Pictograph,Infilled or solid,Brown,Figurative,Artefact,Non-diagnostic,"Elongated motif approx 4-5 x longer than wide. Square(ish) at one end, pointed at other and with protruding point. Similar form to 'planer' artefacts documented in ethnographic collectons for the region.",,6301_YRD,,,No,
WT01,1b,138,WT01-1b-138,Pictograph,Outline,Brown,Non-Figurative,Geometric,Star,"Series of lines that all intersect at centre, forming a 'star' like motif with 6 points",,,,,No,
WT01,1b,139,WT01-1b-139,Pictograph,Outline,Brown,Figurative,Animal,Lizard,"Torso of lizard with long thick tail, two rear feet (with toe details), and one arm. Motif appears to be incomplete, rather than differentially weathered",,,,,Yes,
WT01,1b,140,WT01-1b-140,Pictograph,Outline,Brown,Non-Figurative,Geometric,Non-diagnostic,"Indistinct line feature resembling '?' or 'U' rotated counter-clockwise 90*. Some possible infllling with yellow-orange pigment, but this is also evident elsewhere on substrate. Heaveily weathered.",,,,,Yes,
WT01,1b,141,WT01-1b-141,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Three vertical lines. Possible partial fourth line but indistinct,,,,,No,
WT01,1b,142,WT01-1b-142,Pictograph,Outline,Brown,Non-Figurative,Geometric,Line,"Simple line, vertical but not straight. Indistinct",,,,,No,
WT01,1b,143,WT01-1b-143,Pictograph,Outline,Brown,Non-Figurative,Geometric,Complex lines,"Series of adjacent lines, no apparent pattern. Some short, one very long.",,,,,Yes,
WT01,1b,144,WT01-1b-144,Pictograph,Outline,Brown,Non-Figurative,Geometric,Complex lines,"Two adjacent lines, vertical, one straight the other a curved 'L' . No evident pattern but could be associated with motif 143",,,,,Yes,
WT01,1b,145,WT01-1b-145,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,"Single row of vertical lines, no engraving noted. 15 or more lines",,,,,Yes,
WT01,1b,146,WT01-1b-146,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,"Single row of vertical lines, no engraving noted. 15 or more lines",,,,,Yes,
WT01,1b,147,WT01-1b-147,Pictograph,Outline,Brown,Non-Figurative,Geometric,Single circle,"Simple circle, possible point or dot in middle but not entirely clear",,,,,No,
WT01,1b,148,WT01-1b-148,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,"several rows of faded vertical lines, quite blurred and individual boundaries not always apparent. No engravings",,,,,Yes,
WT01,1b,149,WT01-1b-149,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Stacked line series,"Two rows of faded vertical lines, quite blurred and individual boundaries not always apparent. No engravings",,,,,Yes,
WT01,1b,150,WT01-1b-150,Pictograph,Outline,Brown,Track,Tracks,Bird track,"Faint track, downward direction (i.e. point to the top). Adjacent to a second similar track (151)",,,,,Yes,
WT01,1b,151,WT01-1b-151,Pictograph,Outline,Brown,Track,Tracks,Bird track,"Faint track, downward direction (i.e. point to the top). Adjacent to a second similar track (150)",,,,,Yes,
WT01,1c,152,WT01-1c-152,Pictograph,Infilled or solid,Brown,Figurative,Human,Man,"Male figure, solid or infilled with pigment. very small. Wasp nest over one foot.",,,,,No,
WT01,1b,153,WT01-1b-153,Pictograph,Outline,Brown,Figurative,Non-diagnostic,Non-diagnostic,outline of indeterminate figure that appears to be unfinished. One line extends down from the left side almost down to the next panel.,,"IMG_6288_rgb0.tif,",,,No,
WT01,1b,154,WT01-1b-154,Pictograph,Infilled or solid,Red,Figurative,Non-diagnostic,Non-diagnostic,Distinct figure but heavily blurred and form indeterminate,,,,,Yes,
WT01,1b,155,WT01-1b-155,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,"Three or four vertical lines, pigment only and quite long in comparison to other line series at the site",,"IMG_6288.jpg, IMG_6296_lre.tif",,,No,
WT01,1b,156,WT01-1b-156,Pictograph,Outline,Brown,Non-Figurative,Geometric,Non-diagnostic,"Small figure, made up of two curved lines joined by horizontal lines, almost appearing like a worm.",,IMG_6288.jpg,,,No,
WT01,1b,157,WT01-1b-157,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Badly eroded line series only visible in DStretch,,IMG_6288_rgb0.tif,,,No,
WT01,1c,158,WT01-1c-158,Pictograph,Infilled or solid,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Partially infilled indistinct shape that follows the natural line of the rock recess,,,,,No,
WT01,1c,159,WT01-1c-159,Pictograph,Outline,Brown,Figurative,Non-diagnostic,Non-diagnostic,indeterminate figure in outline. A downward facing crescent connects to a horizontal line at a right angle. Vertical line detail visible on the right portion inside the crescent and some line detail radiating out from the upper/outer edge.,,,,,No,
WT01,1c,160,WT01-1c-160,Pictograph,Infilled or solid,Brown,Track,Tracks,Bird track,Downward facing bird track,,,,,No,
WT01,1c,161,WT01-1c-161,Pictograph,Outline,Brown,Track,Tracks,Bird track,Downward facing bird track. May be associated with 162.,,,,,No,
WT01,1c,162,WT01-1c-162,Pictograph,Outline,Brown,Track,Tracks,Bird track,Downward facing bird track.  May be associated with 161.,,,,,No,
WT01,1a,163,WT01-1a-163,Pictograph,Infilled or solid,Brown,Figurative,Anthropomorph,Anthropomorph,Very dark brown human figure with arms and legs and possible tail. One leg is sharply bent. Appears to be older than vertical lines intersecting.,,,,,Yes,
WT01,1a,164,WT01-1a-164,Pictograph,Infilled or solid,Brown,Figurative,Anthropomorph,Anthropomorph,"Very dark brown human figure, difficult to make out. Appears associated with 163",,,,,Yes,
WT01,1a,165,WT01-1a-165,Pictograph,Infilled or solid,Brown,Figurative,Anthropomorph,Anthropomorph,"Very dark brown human figure, difficult to make out. Appears associated with 163 and 164",,,,,Yes,
WT01,1a,166,WT01-1a-166,Pictograph,Infilled or solid,Brown,Figurative,Anthropomorph,Anthropomorph,"Light brown, very indistinct figure, appears to be part of four figures standing together. (166-169)",,,,,Yes,
WT01,1a,167,WT01-1a-167,Pictograph,Infilled or solid,Brown,Figurative,Anthropomorph,Anthropomorph,"Light brown, very indistinct figure, appears to be part of four figures standing together. (166-169)",,,,,Yes,
WT01,1a,168,WT01-1a-168,Pictograph,Infilled or solid,Brown,Figurative,Anthropomorph,Anthropomorph,"Light brown, very indistinct figure, appears to be part of four figures standing together. (166-169)",,,,,Yes,
WT01,1a,169,WT01-1a-169,Pictograph,Infilled or solid,Brown,Figurative,Anthropomorph,Anthropomorph,"Light brown, very indistinct figure, appears to be part of four figures standing together. (166-169)",,,,,Yes,
WT01,1a,170,WT01-1a-170,Pictograph,Outline,Brown,Non-Figurative,Geometric,Complex lines,"Cross-hatched configuration of vertical, diagonal and curved lines that follow the geometry of the alcove. Appear to cross in front of and thus post date 163-169.",,,,,Yes,
WT01,1a,171,WT01-1a-171,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Dots,"Series of dots running along the lower edge of the alcove. Similar in colour to, but not as dark as 163-165",,,,,Yes,
WT01,1a,172,WT01-1a-172,Pictograph,Infilled or solid,Brown,Figurative,Non-diagnostic,Non-diagnostic,"Five solid curved lines, stemming up and out from a central point. Covered in several places with wasp nests",,,,,Yes,
WT01,1a,173,WT01-1a-173,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Very faded line series that follows the natural geometry of the rock surface,,,,,Yes,
WT01,1a,174,WT01-1a-174,Pictograph,Indeterminate,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Badly eroded and indistinct painted motif,,,,,No,
WT01,1a,175,WT01-1a-175,Pictograph,Indeterminate,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Badly eroded and indistinct painted motif,,,,,Yes,
WT01,1a,176,WT01-1a-176,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Dots,Two diverging sets of dots,,,,,No,
WT01,1a,177,WT01-1a-177,Pictograph,Infilled or solid,Brown,Track,Tracks,Bird track,"Very badly eroded. May be two distinct motifs, at least one downward facing elongated bird track visible. It may have been a pair but it's too difficult to see.",,,,,Yes,
WT01,1a,178,WT01-1a-178,Pictograph,Infilled or solid,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Badly eroded and indistinct painted motif,,,,,Yes,
WT01,1a,179,WT01-1a-179,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Crescent,"At least one crescent shape, with blurred motifs beside it to the left. May be more than one crescent but too badly eroded to tell.",,,,,No,
WT01,1a,180,WT01-1a-180,Pictograph,Infilled or solid,Brown,Figurative,Human,Human,Badly eroded human figure with torso and arms still visible.,,,,,No,
WT01,1a,181,WT01-1a-181,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Radiating lines,At least four radiating lines coming to the edge of the natural alcove.,,,,,Yes,
WT01,1a,182,WT01-1a-182,Pictograph,Outline,Brown,Non-Figurative,Geometric,Line along natural geometry,outline along and around the alcove that holds 163-171. Also has radiating lines coming off from the upper portion of the alcove,,,,,Yes,
WT01,1a,183,WT01-1a-183,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Crescent,Complex crescent with vertical line infill,,,,,No,
WT01,1a,184,WT01-1a-184,Pictograph,Outline,Brown,Non-Figurative,Geometric,Line along natural geometry,Circle around natural pit in the rock surface about the alcove,,,,,No,
WT01,1a,185,WT01-1a-185,Pictograph,Indeterminate,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,General area of poor preservation and bad erosion. Several motifs likely but impossible to make out,,,,,Yes,
WT01,1a,186,WT01-1a-186,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Badly eroded line series sitting above 187,,,,,Yes,
WT01,1a,187,WT01-1a-187,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Badly eroded line series with underline sitting above 188,,,,,Yes,
WT01,1a,188,WT01-1a-188,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,Badly eroded series of vertical lines with underline following the geometry of the rock surface,,,,,Yes,
WT01,1a,189,WT01-1a-189,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Dots,Two series of dots that converge on the right side,,,,,No,
WT01,1a,190,WT01-1a-190,Pictograph,Infilled or solid,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,"badly eroded motif that may be a short line series or a bird track, or an indistinct human figure.",,,,,Yes,
WT01,1a,191,WT01-1a-191,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Radiating lines,Densely packed radiating lines with a wasp's nest over part of the upper portion,,,,,No,
WT01,1a,192,WT01-1a-192,Pictograph,Infilled or solid,Brown,Figurative,Non-diagnostic,Non-diagnostic,"Area of frequent use and superimposition, along with multiple wasp nests over the top.",,,,,Yes,
WT01,1a,193,WT01-1a-193,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Stacked line series,2-3 horizontal lines vertically stacked. third (lowest) one is likely under the wasp nest,,,,,Yes,
WT01,1a,194,WT01-1a-194,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,6 vertical lines,,,,,No,
WT01,1a,195,WT01-1a-195,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line,Curved line. May form a crescent with 196,,,,,No,
WT01,1a,196,WT01-1a-196,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line,Curved line. May form a crescent with 195,,,,,No,
WT01,1a,197,WT01-1a-197,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,6 vertical lines,,,,,No,
WT01,1a,198,WT01-1a-198,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line,Curved line,,,,,No,
WT01,1a,199,WT01-1a-199,Pictograph,Infilled or solid,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,General area of poor preservation and bad erosion. Several motifs likely but impossible to make out,,,,,Yes,
WT01,1c,200,WT01-1c-200,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,"5 vertical lines , badly faded.",,,,,No,
WT01,1c,201,WT01-1c-201,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,10 vertical lines joined with a horizontal line at the top.,,,,,Yes,
WT01,1c,202,WT01-1c-202,Pictograph,Infilled or solid,Brown,Track,Tracks,Bird track,Series of three associated bird tracks facing downwards and arranged vertically,,,,,Yes,
WT01,1c,203,WT01-1c-203,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line along natural geometry,badly eroded line that follows a break/ledge in the rock,,,,,No,
WT01,1c,204,WT01-1c-204,Pictograph,Infilled or solid,Brown,Track,Tracks,Bird track,Bird track facing left,,,,,Yes,
WT01,1c,205,WT01-1c-205,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Crescent,Crescent shape facing downwards. Sits above 204,,,,,Yes,
WT01,1c,206,WT01-1c-206,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Series of 16 vertical lines,,,,,No,
WT01,1c,207,WT01-1c-207,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,"Long series of vertical, very short lines, extends quite a long way across the rock surface",,,,,Yes,
WT01,2,208,WT01-2-208,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,"Single line that diverges to a forked end at the bottom, cut across by 12 horizontal lines that finish just before the fork.",,,,,No,
WT01,2,209,WT01-2-209,Pictograph,Infilled or solid,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Filled motif that has faded too much to determine. Appears as very faint lines,,,,,No,
WT01,2,210,WT01-2-210,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,"Horizontal line, quite thick in some sections intersected with 13 vertical lines",,,,,No,
WT01,2,211,WT01-2-211,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,Forked thick painted line. Indeterminate shape.,,,,,No,
WT01,2,212,WT01-2-212,Pictograph,Outline,Brown,Non-Figurative,Geometric,Complex lines,Round shape with internal line detail and two protruding lines. Bears similarity to 39,,,,,No,Marshall classified 1 Category as Non-Diagnostic but should be either 'Figurative' or 'Non-figurative'. Have reclassif. as latter as subject is not clear. 2 General type as 'non diagnostic' but Specific type is complex lines. Have reclass to 'Geometric'.  
WT01,2,213,WT01-2-213,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,At least 10 vertical lines and one horizontal line underneath,,,,,No,
WT01,2,214,WT01-2-214,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Series of 5 vertical lines,,,,,No,
WT01,2,215,WT01-2-215,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,Series of 5 vertical lines with intersecting horizontal line,,,,,No,
WT01,2,216,WT01-2-216,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Series of 4 vertical lines,,,,,No,
WT01,2,217,WT01-2-217,Pictograph,Infilled or solid,Brown,Track,Tracks,Bird track,"pair of tracks with a dot underneath, facing upwards. May be Morwood's complex bird type",,WT01_p1_farright_yrf.tif,,,Yes,
WT01,3,218,WT01-3-218,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex circle,Circular shape with central vertical line bisecting.,,,,,Yes,
WT01,3,219,WT01-3-219,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex circle,Circular shape with central vertical line bisecting.,,,,,Yes,
WT01,3,220,WT01-3-220,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line undulating,Undulating line that may be associated with or connected to 221. Possibly bends around panel to far right long linear motif ('serpent'),,,,,Yes,
WT01,3,221,WT01-3-221,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line undulating,horizontal line with a curve on the left side. may be assoc. with 220,,,,,Yes,
WT01,3,222,WT01-3-222,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,"At least 8 vertical lines, badly weathered and intersected by a horizontal line",,,,,Yes,
WT01,3,223,WT01-3-223,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,Series of at least 22 vertical lines intersected by a long horizontal line,,,,,No,
WT01,3,224,WT01-3-224,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,Two parrallel vertical lines,,,,,Yes,
WT01,3,225,WT01-3-225,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,At least 7 vertical parrallel lines arranged on the edge of a curve in the rock.,,,,,Yes,
WT01,3,226,WT01-3-226,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Crescent,Series of up to 4 nested crescents facing downwards,,,,,Yes,
WT01,3,227,WT01-3-227,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Crescent,"Rather open crescent, with thicker paint application than 226",,,,,Yes,
WT01,3,228,WT01-3-228,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,Series of very long lines at an angle (leaning left).,,,,,Yes,
WT01,3,229,WT01-3-229,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line undulating,"Long line, solid brown and meanders across panel from top left to bottom right. Appears to be associated with natural features in rock (elevated areas) . One end starts (or finishes) inside rock crevice, the other has a tapered appearance as if depicting a tail. Nothing obvious where 'head' of a snake (etc) might be located.",,,,,Yes,
WT01,3,230,WT01-3-230,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,Line series comprising 5 lines with infilled solid area running perpendicular to lines located across central portion of line series,,,,,No,
WT01,3,231,WT01-3-231,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex geometric,"Complex assemblage of brown-red dots. These form a rounded feature with perhaps several dozen dots, with a further protruding linear 'tail-like' feature. Other end has 10 or more thin parallel lines.  Possibly two superimposed images but distinctly associated with each other so interpreted as complex with multiple geometric features.",,,,,Yes,
WT01,3,232,WT01-3-232,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex geometric,"Similar appearance to WT01-3-231. Rounded area of dots with two solild lines passing from top to bottom,cutting through body of dots. Two lines 'crossed' at top by one short line",,,,,Yes,
WT01,3,233,WT01-3-233,Pictograph,Infilled or solid,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,"Rounded but indeterminate motif,  weathered. Infilled oval-shaped feature",,,,,No,
WT01,4,234,WT01-4-234,Pictograph,Infilled or solid,Brown,Figurative,Human,Deceased human,"Male figure, lying on his side with 4 lines crossing his abdomen (spears)",,,,,No,
WT01,4,235,WT01-4-235,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex geometric,Two vertical lines that curve away from each other at the top. They are intersected by short horizontal lines at the bottom. Bottom right hand line is partially covered by wasp nest. These lines are also surrounded by a complex cluster of dots and intersected again by a long horizontal line just before the start of the curved top section.,,,,,Yes,
WT01,4,236,WT01-4-236,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line Series,"Motif quite degraded (animal rubbing on low portion of panel). Minimum of 6 parallel lines, others likely but destroyed",,,,,No,
WT01,4,237,WT01-4-237,Pictograph,Infilled or solid,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Low portion of panel with animal rub marks. Evidence of application of pigment across the area but form unclear,,,,,Yes,
WT01,4,238,WT01-4-238,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Complex lines,"Complex lines that may be a star originally, however the exact shape blends into a natural fissure in the rock and is difficult to discern",,,,1,No,
WT01,4,239,WT01-4-239,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Crescent,"Crescent, but oriented with open end to the left (as in a back the front 'C'). Bottom of motif damaged/incomplete",,,,1,No,
WT01,4,240,WT01-4-240,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Crescent,"Crescent, oriented with open end towards the base.",,,,1,No,
WT01,4,241,WT01-4-241,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Complex lines,Upturned 'Y' but not considered to be a track as the bottom right line is more elongated than bottom left.,,,,1,No,
WT01,4,242,WT01-4-242,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Complex lines,Line series of 3 horizontal lines and one nearly vertical line cutting across these. Lower portion of motif damaged and motif potentially incomplete. Two pecked pits on either side of top of this motif,,,,1,No,
WT01,4,243,WT01-4-243,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Complex lines,One long slightly curved line intersected by 5-6 horizontal lines. Touches the right hand edge of 245,,,,1,No,
WT01,4,244,WT01-4-244,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Complex lines,One vertical line crossed by 3 horizontal lines. Sits to the right of 243,,,,1,No,
WT01,4,245,WT01-4-245,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Complex lines,Sits below 238. Complex lines made by a crossing of one horizontal and one vertical line.,,,,1,No,
WT01,4,246,WT01-4-246,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Vertical pit series,Three pits in alignment,,,,1,No,
WT01,4,247,WT01-4-247,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Complex lines,Degraded complex line with line series (3 x horizontal lines) and a single line cutting throughf rom top to bottom,,,,1,No,
WT01,4,248,WT01-4-248,Petroglyph,Pecked,Not applicable,Non-Figurative,Geometric,Pit,"Single wide, shallow pit. Multiple percussive strikes clearly visible",,,,1,No,
WT01,4,249,WT01-4-249,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Star,Star made out of 5 lines radiating from the center.,,,,,No,
WT01,4,250,WT01-4-250,Pictograph,Infilled or solid,Brown,Track,Tracks,Bird track,Elongated downward facing bird track intersected by a horizontal line,,,,,Yes,
WT01,4,251,WT01-4-251,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Line horizontal,thick horizontal line somewhat following the natural curvature of the rock face,,,,,Yes,
WT01,4,252,WT01-4-252,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,poorly preserved. Series of short vertical lines intersected by some curving lines and an underline that follows the natural rock,,,,,Yes,
WT01,4,253,WT01-4-253,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex geometric,"Two lines, 1 @ ~45 deg the other @90 deg. Each has radiating lines from the end of the line -- almost appear as if feet/toes/hands/fingers. Associated (touching) crescent at top, with line protruding perpendicular to one of hte legs.",,,,,No,
WT01,4,254,WT01-4-254,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,"Two thick lines intersecting, one horizontal, one vertical forming a square cross shape.",,,,,No,
WT01,4,255,WT01-4-255,Pictograph,Infilled or solid,Brown,Non-diagnostic,Non-diagnostic,Non-diagnostic,Indeterminate smudge. Vaguely circular in shape,,,,,No,
WT01,4,256,WT01-4-256,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Complex lines,"Poorly preserved grouping of complex lines, including Morwood's 'rake' type. Some face upwards and others face downwards. Significant smudging and running of pigment in the lower portion of the motif",,,,,Yes,
WT01,5,257,WT01-5-257,Pictograph,Outline,Brown,Non-Figurative,Geometric,Complex lines,"Two parallel horizontal lines running horizontal across a small natural grotto. These are crossed at multiple points by vertical lines, and some subsidiary other horizontal lines. OVerall appearance like a grid pattern, filling in the available space. no infilling evident",,,,,No,
WT01,5,258,WT01-5-258,Pictograph,Infilled or solid,Brown,Non-Figurative,Geometric,Star,"nine lines radiating out from a central point, leaving an unpainted centre point. The lines are of somewhat even lengths and although not symmetrical, the lines are evenly spaced.",,,,,No,
CH02,2,259,CH02-2-259,Pictograph,Infilled or solid,Brown,Figurative,Zoomorph,Non-diagnostic,"Motif extending from left hand of 070 human figure to the ground. Head in or near hand of 070, and two arms or legs adjacent. Abdomen of figure infilled with blurred area around where feet should be. Feet of 070 and this motif 259 both intersect with 69 (line) that runs beneath.",y,,,,Yes,
CH02,2,260,CH02-2-260,Pictograph,Infilled or solid,Brown,Figurative,Human,Non-diagnostic,Very faint and sits to the left of 81 and 82. Basic human shape,,,,,Yes,
CH02,2,261,CH02-2-261,Pictograph,Infilled or solid,Brown,Figurative,Human,Non-diagnostic,Similar to 260 and sitting to the immediate left.,,,,,Yes,
